key,cz,en,ch
aw_household_reply_principal_reject,{0}答复：正妻之议不纳。,{0} replies: We decline this principal-wife offer.,{0}答覆：正妻之議不納。
aw_household_reply_consort_accept,{0}答复：纳其为妾室。,{0} replies: We accept her as consort.,{0}答覆：納其為妾室。
aw_household_reply_consort_reject,{0}答复：妾室之议不纳。,{0} replies: We decline this consort offer.,{0}答覆：妾室之議不納。
aw_household_failure_not_ready,谱牒与后宫档案尚未就绪,The household archive is not ready,譜牒與後宮檔案尚未就緒
aw_household_failure_realms,两国当前不能进行后妃提议,The two realms cannot make this household offer,兩國當前不能進行後妃提議
aw_household_failure_ruler,受纳君主已不符合条件,The recipient ruler is no longer eligible,受納君主已不符合條件
aw_household_failure_candidate_domestic,所选女子必须属于本国,The offered woman must belong to our realm,所選女子必須屬於本國
aw_household_failure_candidate_female,只能选择女子,Only a woman may be offered,只能選擇女子
aw_household_failure_candidate_age,只能选择18至33岁的适龄女子,The noblewoman must be 18 to 33 years old,只能選擇18至33歲的適齡女子
aw_household_failure_candidate_not_noble_lineage,只能从已有姓族与氏支的贵族宗族女子中选择,The woman must belong to an established noble clan,只能從已有姓族與氏支的貴族宗族女子中選擇
aw_household_failure_candidate_ruler,不能把在位君主作为后妃人选,A reigning ruler cannot be offered,不能把在位君主作為後妃人選
aw_household_failure_candidate_slave,奴隶不能作为后妃人选,A slave cannot be offered,奴隸不能作為後妃人選
aw_household_failure_candidate_married,所选女子已经婚配,The noblewoman is already married,所選女子已經婚配
aw_household_failure_candidate_household,所选女子已经属于其他君主后宫,The noblewoman already belongs to a ruler household,所選女子已經屬於其他君主後宮
aw_household_failure_related,所选女子与受纳君主血缘过近,The woman is too closely related to the ruler,所選女子與受納君主血緣過近
aw_household_failure_principal_wife_exists,该君主已有正妻,The ruler already has a principal wife,該君主已有正妻
aw_household_failure_consort_capacity_full,该君主的妾室名额已满,The ruler household has no open consort position,該君主的妾室名額已滿
aw_household_failure_no_candidate,本国没有符合条件的贵族宗族适龄女子,Our realm has no eligible noblewoman,本國沒有符合條件的貴族宗族適齡女子
aw_household_failure_migration,所选女子无法迁入受纳国都,The noblewoman could not enter the recipient capital,所選女子無法遷入受納國都
aw_hist_household_principal_wife_accepted,入宫为正妻，配于, entered the court as principal wife of ,入宮為正妻，配於
aw_hist_household_consort_accepted,入宫为妾室，侍于, entered the court as consort of ,入宮為妾室，侍於
aw_ruler_household_request_select,择女应请,Select Requested Consort,擇女應請
aw_household_request_select_ready,选择一名贵族宗族女子回应对方求妃,Select a noblewoman to answer the consort request,選擇一名貴族宗族女子回應對方求妃
aw_household_request_confirm,提供妃子,Provide Consort,提供妃子
aw_diplomacy_action_consort_request,请求妃子,Request Consort,請求妃子
aw_diplomacy_consort_request_subject,{0}：请贵国择一宗族女子入侍{1}为妾室,{0}: choose a noblewoman to serve {1} as consort,{0}：請貴國擇一宗族女子入侍{1}為妾室
aw_household_reply_request_accept,{0}答复：愿择宗族女子入侍。,{0} replies: We shall provide a consort.,{0}答覆：願擇宗族女子入侍。
aw_household_reply_request_reject,{0}答复：求妃之请不纳。,{0} replies: We cannot provide a consort.,{0}答覆：求妃之請不納。
aw_household_failure_request_independence,仅独立国家之间可以请求提供妃子,Only independent realms may exchange a requested consort,僅獨立國家之間可以請求提供妃子
aw_household_failure_request_relation,两国关系尚不足以提出求妃,Relations are not close enough for this request,兩國關係尚不足以提出求妃
aw_household_failure_request_selection,接受前须先选择一名合适女子,Select an eligible noblewoman before accepting,接受前須先選擇一名合適女子
aw_household_failure_candidate_selected,该请求已经选定其他女子,Another candidate has already been selected,該請求已經選定其他女子
aw_household_rank_empress,皇后,Empress,皇后
aw_household_rank_consort_de,德妃,Consort De,德妃
aw_household_rank_consort_li,丽妃,Consort Li,麗妃
aw_household_rank_consort_zhuang,庄妃,Consort Zhuang,莊妃
aw_household_rank_consort_xian,贤妃,Consort Xian,賢妃
aw_household_rank_consort_hui,惠妃,Consort Hui,惠妃
aw_household_rank_consort_an,安妃,Consort An,安妃
aw_household_rank_consort_he,和妃,Consort He,和妃
aw_household_rank_consort_xi,僖妃,Consort Xi,僖妃
aw_household_rank_consort_kang,康妃,Consort Kang,康妃
aw_household_historical_prefix,先帝{0},Former ruler's {0},先帝{0}
