key,cz,en,ch
aw_mandate_decision_sacrifice_gamble_desc,高风险大祭。合格时吉39% 平60% 凶1%；不合格时吉25% 平65% 凶10%。吉兆天命+12 皇权+6 威望+8且五年每年+2；凶兆效果相反。,High risk rite. Qualified odds are 39% auspicious / 60% neutral / 1% ominous; unqualified odds are 25% / 65% / 10%. An auspicious result grants Mandate +12 Authority +6 Prestige +8 and +2 yearly for five years; an ominous result reverses these effects.,高風險大祭。合格時吉39% 平60% 兇1%；不合格時吉25% 平65% 兇10%。吉兆天命+12 皇權+6 威望+8且五年每年+2；兇兆效果相反。
aw_mandate_decision_sacrifice_moderate,中庸斋戒,Moderate Grand Sacrifice,中庸齋戒
aw_mandate_decision_sacrifice_moderate_desc,低成本常礼。合格时吉15% 平75% 凶10%；不合格时吉5% 平70% 凶25%。吉兆天命+8 皇权+4 威望+5且五年每年+1；凶兆天命-8 皇权-4 威望-4且五年每年-1。,Lower cost rite. Qualified odds are 15% auspicious / 75% neutral / 10% ominous; unqualified odds are 5% / 70% / 25%. An auspicious result grants Mandate +8 Authority +4 Prestige +5 and +1 yearly for five years; an ominous result applies Mandate -8 Authority -4 Prestige -4 and -1 yearly.,低成本常禮。合格時吉15% 平75% 兇10%；不合格時吉5% 平70% 兇25%。吉兆天命+8 皇權+4 威望+5且五年每年+1；兇兆天命-8 皇權-4 威望-4且五年每年-1。
aw_mandate_decision_sacrifice_conservative,保守斋戒,Conservative Grand Sacrifice,保守齋戒
aw_mandate_decision_sacrifice_conservative_desc,高投入谨慎行礼且不会出现凶兆。合格时吉50% 平50%；不合格时吉40% 平60%。吉兆天命+6 皇权+3 威望+4且五年每年+1；平兆天命+2 皇权+1 威望+1。,Costly cautious rite with no ominous outcome. Qualified odds are 50% auspicious / 50% neutral; unqualified odds are 40% / 60%. An auspicious result grants Mandate +6 Authority +3 Prestige +4 and +1 yearly for five years; a neutral result grants Mandate +2 Authority +1 Prestige +1.,高投入謹慎行禮且不會出現兇兆。合格時吉50% 平50%；不合格時吉40% 平60%。吉兆天命+6 皇權+3 威望+4且五年每年+1；平兆天命+2 皇權+1 威望+1。
aw_mandate_sacrifice_qualification,礼官资格,Ritual Qualification,禮官資格
aw_mandate_sacrifice_qualified,合格,Qualified,合格
aw_mandate_sacrifice_unqualified,不合格,Unqualified,不合格
aw_mandate_sacrifice_outcome_auspicious,吉兆,Auspicious,吉兆
aw_mandate_sacrifice_outcome_neutral,平兆,Neutral,平兆
aw_mandate_sacrifice_outcome_ominous,凶兆,Ominous,兇兆
aw_mandate_sacrifice_yearly_spend,本年政治点投入,Political Points This Year,本年政治點投入
aw_mandate_ritual_completeness,礼制完整度,Ritual Completeness,禮制完整度
aw_mandate_sacrifice_annual_effect,大祀天命年效,Annual Sacrifice Mandate,大祀天命年效
aw_mandate_sacrifice_buff_until,余泽持续至,Effect Until,餘澤持續至
aw_hist_event_mandate_sacrifice_auspicious,大祀获吉,Auspicious Grand Sacrifice,大祀獲吉
aw_hist_event_mandate_sacrifice_neutral,大祀平兆,Neutral Grand Sacrifice,大祀平兆
aw_hist_event_mandate_sacrifice_ominous,大祀逢凶,Ominous Grand Sacrifice,大祀逢凶
aw_mandate_decision_year_name,改元,Change Era Name,改元
aw_mandate_decision_year_name_desc,在大事后颁布新年号，并写入天命史和国史,Issue a new era name after major events and record it in Mandate and kingdom history,在大事后颁布新年号，并写入天命史和国史
aw_mandate_core_count,法理核心,Legal Cores,法理核心
aw_mandate_end_replaced,天命更易,Mandate replaced,天命更易
aw_mandate_end_low,天命崩解,Mandate collapsed,天命崩解
aw_mandate_end_war_lost,天命战争失利,Lost Mandate war,天命战争失利
aw_actor,人物,Actor,人物
aw_city,城市,City,城市
aw_grant_mandate,人工授予天命,Grant Mandate,人工授予天命
aw_grant_mandate Description,点击一个有君主的文明国家并直接把现有天命转授给该国,Click a civilized realm with a ruler to transfer the Mandate directly,點擊一個有君主的文明國家並直接把現有天命轉授給該國
aw_grant_mandate_success,已授予天命,Mandate granted,已授予天命
aw_grant_mandate_error_invalid,请点击一个存续的文明国家,Select an existing civilized realm,請點擊一個存續的文明國家
aw_grant_mandate_error_no_king,目标国家没有君主,The target realm has no ruler,目標國家沒有君主
aw_grant_mandate_error_already_holder,该国已经拥有天命,This realm already holds the Mandate,該國已經擁有天命
aw_grant_mandate_error_database_not_ready,天命档案尚未就绪,Mandate archive is not ready,天命檔案尚未就緒
aw_grant_mandate_error_grant_failed,授予天命失败,Failed to grant the Mandate,授予天命失敗
aw_hist_event_mandate_declared_player_grant,玩家授命,Player-Granted Mandate,玩家授命
aw_hist_mandate_end_player_grant,玩家转授天命,Mandate transferred by player,玩家轉授天命
